query	kind	span_key	span	relation	target	count	busy_us	idle_us	pct_of_kind_execute_busy	avg_busy_us
job_broad_cast_keyword_company	prepare	bumbledb.query.execute	bumbledb.query.execute		bumbledb_lmdb::query	1	923000.0	9.46	100.0	923000.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.build	bumbledb.query_image.build		bumbledb_lmdb::query_image	1	899000.0	5.75	97.4	899000.0
job_broad_cast_keyword_company	prepare	bumbledb.query.image	bumbledb.query.image		bumbledb_lmdb::query	1	899000.0	4.96	97.4	899000.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=CharName]	bumbledb.query_image.relation	CharName	bumbledb_lmdb::query_image	1	320000.0	5.46	34.67	320000.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=Name]	bumbledb.query_image.relation	Name	bumbledb_lmdb::query_image	1	216000.0	11.0	23.402	216000.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=PersonInfo]	bumbledb.query_image.relation	PersonInfo	bumbledb_lmdb::query_image	1	129000.0	5.33	13.976	129000.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=CastInfo]	bumbledb.query_image.relation	CastInfo	bumbledb_lmdb::query_image	1	54900.0	7.62	5.948	54900.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=MovieInfo]	bumbledb.query_image.relation	MovieInfo	bumbledb_lmdb::query_image	1	41900.0	6.38	4.54	41900.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=AkaName]	bumbledb.query_image.relation	AkaName	bumbledb_lmdb::query_image	1	41100.0	7.88	4.453	41100.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=CompanyName]	bumbledb.query_image.relation	CompanyName	bumbledb_lmdb::query_image	1	37100.0	5.17	4.02	37100.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=Title]	bumbledb.query_image.relation	Title	bumbledb_lmdb::query_image	1	29000.0	13.3	3.142	29000.0
job_broad_cast_keyword_company	prepare	bumbledb.query.free_join.dispatch	bumbledb.query.free_join.dispatch		bumbledb_lmdb::query	1	16300.0	5.0	1.766	16300.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=Keyword]	bumbledb.query_image.relation	Keyword	bumbledb_lmdb::query_image	1	10800.0	5.29	1.17	10800.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=MovieCompanies]	bumbledb.query_image.relation	MovieCompanies	bumbledb_lmdb::query_image	1	7940.0	6.12	0.86	7940.0
job_broad_cast_keyword_company	prepare	bumbledb.query.plan	bumbledb.query.plan		bumbledb_lmdb::query	1	7410.0	4.96	0.803	7410.0
job_broad_cast_keyword_company	prepare	bumbledb.query.plan.stats	bumbledb.query.plan.stats		bumbledb_lmdb::query	1	6680.0	5.21	0.724	6680.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=MovieKeyword]	bumbledb.query_image.relation	MovieKeyword	bumbledb_lmdb::query_image	1	5040.0	6.38	0.546	5040.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=MovieInfoIdx]	bumbledb.query_image.relation	MovieInfoIdx	bumbledb_lmdb::query_image	1	4640.0	10.2	0.503	4640.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=AkaTitle]	bumbledb.query_image.relation	AkaTitle	bumbledb_lmdb::query_image	1	441.0	9.46	0.048	441.0
job_broad_cast_keyword_company	prepare	bumbledb.query_image.relation[relation=CompleteCast]	bumbledb.query_image.relation	CompleteCast	bumbledb_lmdb::query_image	1	429.0	9.58	0.046	429.0
job_broad_cast_keyword_company	prepare	bumbledb.query.plan.optimize_free_join	bumbledb.query.plan.optimize_free_join		bumbledb_lmdb::query	1	393.0	5.17	0.043	393.0
